,0
11114,a painting of a girl and a boy on a sign 
12335,a painting of a cartoon character with a bear on it 
12092,a collage of photos of a woman holding a sign 
10948,a woman sitting on a couch with a stuffed animal 
11229,a man in a black shirt and a guitar 
15121,a painting of a woman holding a kite 
562,a man in a suit and a woman in a costume 
10163,a man is playing a game with a kite 
48862,a woman sitting on a chair with a sign 
117036,a painting of a man with a shark on his chest 
47199,a collage of photos of a man and a woman 
11159,a woman sitting at a table with a sign 
9591,a man is holding up a sign with a cartoon character 
30500,a man walking down a beach with a surfboard 
41843,a person holding an umbrella on a beach 
55058,a wedding cake with a man and woman standing around it 
10938,a man holding a sign on a cell phone 
11412,a man with a cell phone in his hand 
10586,a man is holding a book and a picture of a cat 
42314,a woman holding a book with a picture of a cat on it 
27845,a man sitting at a bar with a bottle of beer 
108365,a woman standing in front of a sign 
23223,a man and a woman are looking at a picture 
49471,people standing on a street with a sign 
38153,a flag with a picture of a man on it 
25147,a man in a suit and tie standing next to a woman 
9716,a man standing on a street corner with a clock 
43777,a man is reading a newspaper in a foreign language 
454,a man and woman are looking at a picture of a cat 
10218,a man holding a bottle of wine in front of a sign 
819,a collage of photos of a man and woman 
38191,a man with glasses and a tie 
56830,a man holding a white object in his hand 
11238,a painting of a woman sitting on a surfboard 
27256,a painting of a man in a suit and tie 
31530,a woman and a man are posing for a picture 
66473,a man in a suit and tie standing next to a poster of a man in a suit 
28120,a book with a picture of a girl with a cat on it 
1834,a man and woman are posing for a picture 
26282,a woman in a bikini standing next to a man 
37218,a man holding a book with a picture of a man in a suit 
252,a woman holding a sign with a cartoon character 
116356,a woman sitting on a wall with a picture of a man 
16372,a woman is sitting on a wall with a painting 
11561,a woman and a child are posing for a picture 
11302,a painting of a woman holding a sword and a stuffed animal 
623,a man in a suit and tie posing for a picture 
583,a large colorful fire hydrant with a sky background 
12614,a man and woman posing for a picture 
21711,a man in a suit and tie holding a red and white flag 
11575,a man and woman standing next to each other 
475,a man wearing a hat and a hat with a woman 
11331,a collage of photos of a man and a dog 
521,a cat is playing with a television screen 
21202,a man and woman sitting next to each other 
88,a woman and a man are standing in front of a mural 
500,a man in a suit and tie standing next to a sign 
792,a painting of a man holding a sign 
8491,a man and woman pose for a picture while holding surfboards 
402,a man and a woman are kissing on a bed 
10537,a man with a beard and a picture of a cat on his face 
11386,a woman is posing for a picture with a book 
9504,a man is jumping over a pole with a parachute 
15764,a woman is reading a book in bed 
601,a person jumping in the air with a surfboard 
67365,a collage of photos showing a man in a suit 
25842,a man and woman posing for a picture 
2119,a man holding a picture of a movie poster 
744,a man and a woman are talking on a motorcycle 
136311,a pair of scissors hanging from a string 
221,a man holding a baseball glove and a baseball 
702,a man and a woman are holding a book 
25750,a man holding a sign with a picture of a bear 
17642,a cat sitting on top of a tree stump 
427043,a man is standing in front of a sign 
146341,a woman holding a sign with a picture of a man 
9305,a bird is flying over a sign 
37616,a man holding a sign with a penguin on it 
11112,a man sitting on a bed with a suit case 
21612,a man in a suit and tie 
141210,a man and a woman are looking at a cat 
102461,a woman with a picture of a man 
36998,two men in suits and ties standing in a field 
200383,a man and a woman standing in the snow 
116844,a collage of photos of people with their hands 
1630,a man with a tie and a picture of a dog 
26626,a collage of photos of a man and woman 
124837,a poster of a man in a blue shirt and a blue and white sign 
11816,a woman holding a picture of a man 
11843,a woman holding a sign with a picture of a bear 
10379,a collage of a woman with a cartoon character 
2756,a person holding a water bottle in front of a painting 
790,a person with a tattoo on their arm 
1103,a man in a costume is playing a video game 
11298,a picture of a person holding a fork 
4480,a man with a hat and a bottle of wine 
4481,a woman sitting on a rock with a book 
49688,a man holding a cell phone in his right hand 
10765,a woman with a hat and a picture of a bear 
762,a painting of a banana on a tree 
44497,a man in a swimsuit is sitting on a towel 
278621,a number of people posing for a picture 
99479,a woman is looking at her cell phone 
55049,a man with a tattoo on his face 
124829,a painting of a woman holding a book 
79306,a man on skis is in the air on a snowy slope 
10548,a man in a suit and tie holding a sign 
531,a stuffed animal is sitting on a table 
104931,"a sign that says ""no smoking"" on it "
4483,a painting of a man and a woman with a hat 
18919,a man is reading a book in front of a picture of a woman 
31556,a man and woman are standing in front of a wall 
26167,a man and woman posing for a picture 
26174,a man with a hat and a woman with a hat 
61461,a man in a suit and tie 
117500,a man and woman are reading a book 
218713,a man with a cartoon character on his face 
217802,a man and woman are posing for a picture 
127973,"a sign for a movie called ""the korean war"" "
659,"a sign that says ""no parking"" "
30892,a person on a snowboard jumping over a sign 
86369,a woman and a man are posing for a picture 
8074,a magazine cover with a picture of a man with a cat on it 
124676,a man in a black and white photo with a clock 
38554,a man in a suit and tie posing for a picture 
49763,a blurry image of a black and white object 
41326,a poster of a man with a heart on it 
36555,a man and a woman are holding up a picture of a man and a woman 
10608,a woman in a bikini standing on a pole 
11216,a large billboard with a cartoon character on it 
7452,a woman in a red dress with a red bow 
64567,a woman wearing a hat talking on a cell phone 
892,a painting of a bear with a quote 
1600,a woman is looking at the camera while holding a cigarette 
26561,a woman with a hat and a picture of a cow 
975,a man in a black shirt and a helmet on a skateboard 
18129,a man and a woman wearing sunglasses and a hat 
54405,a man sitting on a bench with a picture of a man on it 
150823,a man with a skull on a sign 
409,a man in a suit and tie standing next to a woman 
38251,a man flying a kite in front of a group of people 
10161,a painting of a man with a yellow shirt and a blue and white striped shirt 
1412,a collage of photos of a man and woman 
41768,a man and a woman on a boat in the water 
10409,a man in a blue shirt and a woman in a pink shirt 
14285,a clock on a wall with a cartoon character 
2469,a painting of a boy and girl on a boat 
10174,a woman laying on a bed with a white blanket 
31225,a crowd of people standing next to each other 
510,a man in a suit and tie 
11455,a painting of a man with a hat on 
1891,a painting of a man riding a skateboard 
2493,a bench with a painting of a man on it 
85,a man in a costume holding a stick 
68,a painting of a man with a bird on his arm 
679,a man in a black shirt and a guitar playing 
429,a man in a hat holding a gun 
13446,a man sitting on a bench with a magazine 
389,a man in a suit and tie standing next to a crowd of people 
947,a painting of a man in a suit 
185,a man holding a sign with a picture of a cat on it 
595,a man in a suit is holding a magazine 
28,a sunset photo of a plane flying over a body of water 
335,a painting of a man with a hat on 
1892,a painting of a man holding a surfboard 
144,a man in a black and white photo holding a surfboard 
1092,a man riding a skateboard on top of a wall 
769,a collage of photos of men in suits 
348,a blurry image of a lighted object with a lighted object 
766,a man riding a motorcycle on top of a stage 
175,a man flying through the air while riding a surfboard 
11645,a man riding a horse with a group of people watching 
10835,a man holding a painting of a man in a baseball uniform 
539,a man and woman are reading a magazine 
525,two men in suits and ties posing for a picture 
240,a man in a suit and tie 
600,a cartoon character with a shark on his head 
530,a stuffed animal with a cartoon character on it 
10705,a person walking down a street with a red umbrella 
279,a painting of a bear on a table 
3109,a man and woman posing for a picture 
311,a painting of a man walking down a street with a bunch of people 
1578,a man with a picture of a bear on his head 
703,a man standing next to a woman 
9549,a man riding a horse through a painting 
1398,a painting of a man with a shark on his face 
387,a man sitting on a table with a painting of a man 
9277,a woman sitting on a bench with a sign 
343,a man and woman standing under an umbrella 
37291,a man and woman are looking at a picture of a cat 
490,a man with a beard 
11235,a man standing in front of a blue and white photo 
218,a man with glasses holding a bottle of wine 
763,a zombie character is shown in a zombie costume 
9665,a large group of people standing on top of a stage 
18971,"a sign that says ""no shoes"" on it "
696,a street sign with a picture of a train on it 
379,a man sitting on a bench in the woods 
207,a man and woman sitting on a bench 
37247,a man in a suit and tie is reading a magazine 
1480,a man in a suit and hat holding a stick 
9322,a woman is holding a bottle and a picture of a man 
826,a man in a suit and hat 
422,a man wearing a suit and tie 
829,a woman with a cartoon character on her face 
828,a painting of a person holding a knife 
3090,a man with a hat and a picture of a bear 
9964,a man holding a gun and a picture of a man 
3063,a man in a suit and tie standing next to a sign 
13667,a painting of a man and woman on a train 
694,a yellow and black sign with a picture of a man 
235,a sign for a movie theater with a picture of a girl and a man 
832,a hand holding a large piece of paper 
765,a man with a face painted on his face 
5925,a man in a black and white photo holding a kite 
11778,a man with a tattoo on his face 
4485,a painting of a man with a clock on his head 
137,a woman is talking on a cell phone while a man is standing by a clock 
33,a man in a suit and tie holding a knife 
982,a sign with a picture of a bear on it 
8428,a woman sitting at a table talking on a cell phone 
212,a man in a suit and tie is holding a sign 
105,a woman in a costume is holding a record 
1633,a woman and a man posing for a picture 
11202,a man in a suit and tie holding a flag 
1554,a man is reading a newspaper in a bookstore 
149,a man is holding a kite in the air 
8009,a woman in a costume holding a bear 
903,a man with a scarf on his head 
11673,a painting of a man with a hat on a painting 
3034,a painting of a man with a gun 
339,a man in a yellow shirt and a yellow bus 
10404,a man in a suit sitting on a bench 
914,a man in a bandana and a flag 
756,a cartoon character is holding a snowboard 
288,a man in a suit and tie standing on a sidewalk 
910,a man and a woman are talking in a black and white photo 
2640,a woman standing next to a man holding a sign 
16633,a painting of a man with a hat on 
665,a large pile of fake elephant statues 
11031,a collage of photos of a man and a woman 
11314,a street sign with a sky background 
15143,a woman and a man sitting on a wall 
89,a man in a hat and tie 
10322,a statue of a man in a suit holding a skateboard 
783,a man with a beard and glasses 
10644,a man with a hat and a picture of a woman 
