,0
862,a cartoon character is on a table with a stuffed animal 
8844,a man holding a cat on a sign 
15602,a man and woman posing for a picture 
31357,a woman sitting on a couch with a bunch of magazines 
11862,a man and woman are kissing in front of a picture of a man and woman 
949,a man and a woman are looking at a picture 
11860,a man wearing a hat and a bow tie 
45325,a man with a funny face and a picture of a girl 
9091,a man with a red face holding a yellow and black object 
710,a man and a woman are kissing and holding a cell phone 
9087,a woman in a dress talking on a cell phone 
12110,a man in a suit and tie holding a sign 
21032,a painting of a penguin on a snowboard 
10858,a man with a beard is reading a book 
1408,a woman is blowing out candles on a cake 
524,a man in a suit and tie holding a microphone 
11517,a man and a woman are standing in front of a wall 
1710,a man with glasses and a cat on his head 
9691,a man with a beard and a picture of a man 
