,0
55123,a woman in a hat and sunglasses talking on a cell phone 
5486,a painting of a dog on a red and white background 
10411,a man holding a bottle of toothpaste 
41462,a painting of a man with a red hat 
1718,a man is holding a sign with a horse 
28604,a beautiful young woman in a bikini posing for a picture 
15506,a woman and a man are smiling for the camera 
20024,a man holding an umbrella in front of a painting 
78256,a vintage photo of a man and a dog 
13787,a woman is talking on a cell phone 
54933,a woman is standing next to a man 
9684,a dog is sitting on a red and white flag 
9586,a man and a woman are standing in front of a picture 
41638,a man and a woman are posing for a picture 
70801,a man and woman are posing for a picture 
33015,a man riding a horse with a cartoon character on it 
777,a man in a mask with a gun 
21887,a man in a costume is holding a toy horse 
5652,a collage of photos of a man with a beard 
19664,a painting of a man with a shark on his head 
32331,a woman is reading a book in front of a painting 
76083,a man in a bikini holding a cartoon character 
32628,a painting of a woman holding a sign 
32669,a man in a suit and tie holding a picture 
18161,a man and a woman are playing a video game 
31681,a boat sitting on top of a white beach 
33666,a woman in a bikini and a cartoon character 
32274,a series of photos showing different types of food 
10402,a man in a suit with a picture of a bear on it 
497,a man wearing a hat and a hat hat 
1715,a man and a woman are posing for a picture 
35118,a man and a woman posing for a picture 
42739,a man and woman standing next to each other 
26162,a painting of a woman with a sign 
25188,a man and a woman are sitting on a sign 
15515,a painting of a woman holding a cow 
75888,a man and a woman are posing for a picture 
1439,a man and woman are posing for a picture 
2277,a woman with a black and white photo on her face 
10137,a young boy dressed in a pirate costume 
10387,a painting of a man with a gun 
49948,a painting of a man in a costume on a television screen 
334,a painting of a flower arrangement with a flower in it 
30237,a couple posing for a picture in front of a river 
50116,a man is shown with a cat on his head 
46435,a man with a hat and a mustache 
94260,a collage of photos of a woman in a black dress 
22213,a man holding a black and white photo of a gun 
47070,a man and woman are looking at a poster 
36492,a crowd of people standing next to each other 
624,a woman sitting on a bench with a sign 
26578,a man and a woman are talking in a painting 
415072,a painting of a man with a dog on his head 
43103,a man and a woman are standing in front of a sign 
43194,a man with a picture of a bear on his head 
9563,a painting of a man with a sign on his head 
1850,a man in a red shirt and tie standing in front of a red wall 
926,a collage of photos of a man and a woman 
1213,a man in a suit and tie standing next to a man in a suit 
10471,a man is holding a stuffed animal in his lap 
10400,a man is holding a black and white photo 
10397,a man in a suit and tie 
20761,a man is holding a pair of scissors 
12524,a man with a skull on his face 
28216,a man in a suit with a picture of a man on it 
36773,a man in a suit with a picture of a man 
30814,a man holding a cell phone in his hand 
10219,a woman with a picture of a dog on her face 
3558,a woman with a black eye and a black and white photo 
104878,a man in a black shirt and a black and white photo 
41276,a baseball player is about to throw a ball 
17908,a man standing next to a dog on a toilet 
10384,a painting of a man with a red face 
125317,a collage of photos showing a man and a woman 
48233,a person is reading a book in a bookstore 
10236,a man and woman standing on a beach holding a surfboard 
71067,a painting of a woman and a man 
632,a man holding a sign with a picture of a bear 
11851,a man with a pirate hat and a pirate hat on 
5924,a man with a beard and a cartoon character on his head 
33734,a man and woman dressed up for a wedding 
14886,a man with a hat and a bow tie 
26617,a man sitting on a wooden bench with a sign 
11900,a man sitting on a chair next to a picture of a man 
10493,a painting of a woman holding a red book 
16241,"a sign that says ""the world's most famous"" "
27632,a painting of a man holding a cell phone 
22160,a man and a woman sitting on a bed 
4460,a woman is reading a book with a picture of a bear 
9644,a man holding a skateboard next to a picture of a man 
43455,a man and a woman are looking at a picture 
13342,a woman sitting on a chair with a cartoon character 
35119,a man and a woman are looking at a book 
21256,a man holding a tennis racket and a ball 
14919,a cartoon of a man with a bird on his head 
14040,a painting of a person with a red and blue umbrella 
75641,a crowd of people watching a movie on a stage 
17343,a painting of a woman in a bikini 
22692,a painting of a man with a flag 
47620,a blue and white sign with a picture of a penguin 
2990,a man and a woman posing for a picture 
38775,a painting of a person with a skateboard 
10831,a painting of a man and woman with a hat on 
21193,a woman in a dress is posing for a picture 
33078,a zebra is standing next to a statue of a man 
16672,a person with a horse 
10472,a woman and a man are talking on a cell phone 
79474,a painting of a man holding a book 
97805,a woman is looking at her phone while another woman is looking at her 
53714,a man sitting on a curb with a sign 
21489,a man sitting on a train platform next to a train 
51392,a painting of a woman and a man 
32600,a man in a suit and tie holding a sign 
110479,a collage of photos of a woman and a man 
299121,a man in a suit with a bunch of stuffed animals 
13005,a painting of a snowboarder riding a wave 
65134,a painting of a person with a gun 
121738,a bird sitting on a book 
18681,a woman with a black and white photo 
75531,a man and woman are posing for a picture 
20468,a man wearing a red shirt and a blue tie 
14521,a man standing on top of a desert 
46835,a poster of a woman holding a stuffed animal 
10406,a painting of a man riding a skateboard 
14741,a woman and man are standing in front of a sign 
32015,a woman and a man are standing next to each other 
1883,a man with a flag on his head 
2005,a woman in a dress is standing in front of a curtain 
6279,a woman dressed in a costume and holding a stuffed animal 
11087,a woman with a picture of a man on her arm 
7305,a man riding a horse with a sign on it 
24735,a woman standing in front of a large building 
9475,a woman standing next to a statue of a man 
8872,a woman holding a video game controller 
8873,a man and woman posing for a picture 
11287,a woman in a bikini holding a baseball bat 
9869,a man in a suit and tie 
619,a woman in a black jacket and a black hat 
9374,a woman holding a pink and white heart shaped candle 
11259,a man and woman are reading a book 
8293,a woman and a man are looking at a picture 
11068,two people sitting on a bench with a sign 
1923,a woman holding a sign with a picture of a bear 
10158,two men in a baseball uniform are holding a bat 
10206,a man and a woman posing for a picture 
11782,a man is playing a video game 
10086,a man holding a picture of a man in a suit 
9367,a man walking down a street with a dog 
9876,a man holding a sign with a picture of a woman 
10326,a man holding a book with a picture of a man on it 
16562,a man and a woman are reading a book 
9609,two men standing next to each other in front of a sign 
12143,a man holding a camera and a picture of a man 
4234,a collage of photos of a man with a cat on his head 
9605,a painting of a man with a sign 
8374,two men are talking while holding up a cup 
29076,a collage of a man and a woman with a sign 
80471,a man sitting on a couch with a book 
49477,a man with a sign on his head 
121940,a woman in a costume holding a magazine 
28156,a woman is standing in front of a wooden box 
113096,a man is reading a newspaper while another man watches 
106837,a woman standing next to a man on a wall 
24349,a woman with an umbrella 
27841,a man and a woman wearing hats 
1907,a man is standing in the water with a camera 
15489,a man in a hat and a snowboard 
15655,"a sign that says ""don't eat animals"" "
68546,a woman holding a book and a sign 
36210,a woman standing on a stage with a sign 
279444,a man and a woman are holding a sign 
77908,two women are posing for a picture with a computer 
22342,"a magazine advertisement for a book called ""the man in the hat."" "
96484,a woman with a black and white photo on her face 
30062,a cartoon character with a skull on it 
62463,a statue of a woman in a suit and bow tie 
25934,a man holding a vase with flowers on it 
101383,a poster of a man in a suit and a dog 
14181,a man and a woman standing next to each other 
10385,two women are talking on the phone while standing in front of a sign 
2787,a man with glasses and a helmet on 
2069,a man in a suit and tie standing next to a woman 
61416,a painting of a flower with a clock on it 
79515,a woman in a black jacket and a black and white photo 
14839,"a sign that says ""the street"" "
42186,a man in a suit and tie reading a book 
28978,a man in a suit and tie sitting on a horse 
901,a man in a costume holding a bear 
25010,a man in a suit and tie posing for a picture 
36208,a man sitting on a bench with a painting of a horse 
10098,a man and a woman standing next to a large american flag 
18264,a man is holding a book in front of a painting 
291861,a poster of a man in a suit and a woman in a dress 
33374,a poster of a group of people with a picture of a bear 
43368,a painting of a man on a horse 
127602,a man and woman standing next to each other 
2155,a man and a woman are playing a video game 
11004,a man with glasses and a scarf 
